question,answer,Structure_your_answers_in_logical_paragraphs,One_main_idea_per_paragraph,Include_an_introduction_and_conclusion,Support_main_points_with_an_explanation_and_then_an_example,Use_cohesive_linking_words_accurately_and_appropriately,Vary_your_linking_phrases_using_synonyms,score
Business culture in globalization impact on an international business with operations in different countries.,"Over the last three decades, a fundamental shift has been occurring in the world economy. We are moving toward a world in which barriers to cross-border trade and investment are declining; perceived distance is shrinking due to advances in transportation and telecommunications technology; material culture is starting to look similar the world over, and national economies are merging into an interdependent, integrated global economic system. The process by which this is occurring is commonly referred to as globalization.

Globalization has resulted in greater cross-national business and cultural interactions. This also means the business culture has considerable importance for an international business with operations in different countries. When you’re dealing with people from another culture, you may find that their business practices, communication, and management styles are different from those to which you are accustomed. Understanding the culture of the people with whom you are dealing is important to successful business interactions and to accomplishing business objectives.

Occasionally business culture will affect your ability to enter an international market, develop and maintain business relationships, negotiate successful deals, conduct sales, conduct marketing, advertising campaigns, engage in manufacturing, and distribution.

In conclusion, we need to understand the point of view of people who worry about cultural globalization because it is a threat to national traditions. However, this is outweighed by its positive impact on international understanding and the fact that it represents progress within a society. ",No,No,Yes,No,No,No,5
Personality of people is reflected by fashion. Do you think it's positive or negative.,"Individual's personality, these days, reflects owing to fashion. Consciousness towards fashionable goods is extremely common among communities. This essay will shed light on reasons behind this, however, I consider it to be a positive trend rather than its negative ones.

The underlying reasons associated with why people's preference is more towards trendy clothes are following. The most dominating reason is that physical appearance becomes a necessary part of individual's life. To explain it, people, in 21st century, have more care about their outside looks rather than inside, therefore, a big chunk of money is consumed by them on fashionable clothing. In addition to this, people consider personality as an imperative part of their life. The standout example of this is that women in new generation have more focus on fashionable products since they consider it to be a success in life. Thereby, from these above mentioned reasons it is proven that fashion should be there in life of folks.

Moreover, for organizations, manufacturing trendy clothes or goods becomes a huge business. To make it more clear, numerous craftman make an effort to design clothes which can also renowned at international level. This development would provide favorable benefits to everyone.

In conclusion, fashion industry is not only achieving huge goals but also offer opportunities for denizens. I perceive that fashion holds Number of benefits for countries progress. ",No,No,Yes,No,Yes,No,5.5
music bring people of different cultures together agree or disagree,"It is often said that music has the power to unite and connect people, regardless of their cultural backgrounds or ages. I completely agree with this view, and will give my reasons below.

Music can certainly reach across cultural and national boundaries and bring people together. Perhaps the best example of this would be the Live Aid concerts that took place back in the 1980s, and which were broadcast to a global audience. Two live events were held simultaneously in the UK and the US, and the objective was to raise funds for famine relief in Ethiopia. The concerts were a huge success, both in terms of the number of people around the world who watched them and their impact on international public awareness of the famine. They demonstrated, I believe, that music truly is the planet’s global language.

Just as it transcends cultures, music also has the ability to connect people from different generations. Regardless of age, we can all enjoy a memorable melody, a strong rhythm or a beautiful singing voice, and the best songs seem to have the same magical effect on all of us. This would explain why televised music competitions, such as ‘The X Factor’ or ‘The Voice’, are such popular prime-time shows. These programmes attract incredibly broad audiences because singing and popular songs appeal to children, parents and grandparents alike. I would argue that no other form of entertainment can bring families together in this way.

In conclusion, I believe that music is unique in its capacity to create shared experiences between people, irrespective of culture and age. ",Yes,No,Yes,No,No,No,5.5
Some people believe that the Internet brings people of different ages and cultures together. To what extent do you agree with this opinion?,"It is widely believed that as electronic devices became more advanced, people began to communicate more over the internet, bringing them closer together. On the contrary, there is a certain group of people who believe that the Internet has pushed people far apart. Before coming to a logical conclusion, we'll look at both sides and I will explain further in this essay.

To begin with, we must acknowledge how technological advancements have altered the whole world and brought individuals from all over the planet together with a single touch. In the past, sending a message to another location would take a long time, or you could have to go to their location to give the message, which was inefficient and time-consuming. Now, we just engage with each other, and the message is sent to their side in a second. Consequently, People, particularly adolescents, begin enjoy conversing through numerous online sites as technology progresses at a breakneck rate, because it helps them to keep in touch with their distant relatives and friends. For example, Facebook, a widely used social networking site, has millions of members who connect with one another on a regular basis, sharing their thoughts on a variety of issues and forming communities with others who have shared interests.

On the other hand, while the Internet connects people digitally, it isolates them socially in the meantime, because the more time they spend online, the less time they spend engaging in real life. People who are hooked to the internet and can't get away from their devices will not develop any social skills or gain any knowledge that’s essential for their lives. This is a major disadvantage since it will put them in perplexing situations that they won't know how to handle. Many people assume that technological communication is less comprehensive and trustworthy than communication done by face-to-face conversation or over the phone. Social connections are built on the facades of other internet users, whose anonymous activities might be deceptive and unpredictable.

To sum up, despite all of this, I continue to notice flaws in the evolution of interface technologies since there is an enormous amount of time each person spends on the Internet and separates from each other. But we can’t forget to mention the contributions that technology has made to human contact, and I believe that the mentioned flaw is easily remedied. ",No,No,No,No,Yes,No,5.5
"Compare how the writers of “H is for Hawk” and “An Unexpected Meeting” present their ideas and perspectives about their experiences. Support your answer with detailed examples from both texts, including brief quotations.","One of the most important things in every meeting between human and human or human and animal is their interaction with each other and that is also the main content in “H is for hawk” and “An unexpected meeting”. Because of the different setting, the first interac between the writer and the bird is also not the same. With an excited emotion when she saw the hawk for the first time, Helen lightly slowly softly covered the hawk’s eyes with the hood with a series of actions which was described as: ”I grabbed the hood from the box and turned to the hawk. Her beak was open, her hackles raised; her wild eyes were the colour of sun on white paper, and they stared because the whole world had fallen into them at once. One, two, three. I tucked the hood over her head. ” while the writer of “An unexpected meeting” with the altruism try to save the penguin at all cost even in a violent way like: “. . . Swirling a piece of fishing net, I distracted the penguin and, with the swiftness and bravery of Achilles2, dropped the net over its head and pushed it over with a stick. I pinned it down and, with my hand inside the bag (it was no time to be eating apples), grabbed its feet. ”. The different interact of 2 author clearly because of the different setting where they meet the birds, one excited about seeing the hawk and another try to save that penguin, through these actions, we can realize that though their interact are different; however, they are both have love with animal especially bird. ",No,No,No,No,Yes,No,5.5
In this time of advanced technology it is hard to say that this world is old-fashioned. But is caring for our environment is old-fashioned? It seems that every country in the world has with pollution. I think that these problems can be fixed. But where do we start?,"In this time of advanced technology it is hard to say that this world is old-fashioned. But is caring for our environment is old-fashioned? It seems that every country in the world has with pollution. I think that these problems can be fixed. But where do we start?

We begin with transport. Emissions from cars greatly damage the environment and the fact that almost every citizen has one doesn’t make it any better. A good solution to that would be to motivate people to use electric cars. The second place to check would be rivers and seas. Anything from sunken transport to waste thrown out by people should be cleaned since it creates trouble both for animals and us. The third problem would be littering. Why? Because a lot of packaging used and thrown away is not biodegradable. Keeping the package on your person and throwing it away at the bin should do the trick.

In conclusion, I have shown you that we have a lot of problems with taking care of environment, but we have the solutions to them. All we need is just enough time and effort.

Part 2. 3

Throughout our lives we learn many things and obtain many characteristics. Some are good, some are bad. It’s really hard to say which one is the most useful. But I would say that the most useful thing I have ever learned is the ability to look at life a little more easier and find balance in things you do on every day basis.

You can’t expect great work if you don’t have a great rest. These things are pretty proportional, in my opinion. Not only that, living in constant stress and work won’t do you a lot of good, so a rest that can take care of all that before the next time you sit to do something tedious should be helpful. But don’t let that rest take all of your time or else you’ll fall behind. Plan your time ahead, balance your rest and work so that you won’t be consumed by them. Doesn’t that sound great?

In the end, not everyone will agree with me, but that’s ok. That’s my opinion and I agree with myself. I just wanted to share that thought with anyone reading this. ",No,No,No,No,No,No,5.5
A gossip culture pervades most companies. Employees like to talk about their bosses or other employees. Is there any advantage to this? What do you think are the disadvantages?,"Gossip is a dominant culture in the corporate world. In many circles, gossip is considered as a tool to gather information and build intimacy among colleagues, while others seem it as harmful phenomenon that that destroys trust and assails credibility. In the instance, I am of the honest opinion that gossip is the one of the major adversaries of a healthy corporate culture. In following essay i will discuss both merits and dimerits of gossip culture.

To commence with, there is several reasons which can support th benefits of gossip culture. Gossip, in fact, is nothing but implies office politics. It will be difficult for bosses of big companies to find out about the rumors in the company without gossiping. As a result, the company goes bankrupt. Secondly, not only does gossip harms the intended person, but also everyone in the organization with the help of gossip, the campaign grows faster and its revenue increases dramatically. Thus, gossip spreads quickly among people

On the other hand, big company executives suffer from gossip. To give an illustration of what I mean, to head of company or the employees in company may become unemployed. Also, through gossip company employees commit crimes because this is a case against the law. For instance, coca-cola workers were caught trying to sell company secrets.

To recapitulate, gossip strengthens trust and intimacy but on the contrary creates disagreements between people",No,No,No,No,Yes,No,5.5
Do you agree with the writer's views on the value of modern inventions? Why or why not?,"Modern inventions have made life more comfortable than what it was before. More and more new things are being made in all countries throughout the world to make life even more comfortable.

In the past men had great difficulty in ploughing their lands to grow food. But, today, giant machines are used to plough thousands of acres of land. As a result, more food can be grown in a shorter time than was possible before. To carry the food motor-vehicles, steam-ships and various other means of transport have been invented. Shortage of food in one place no longer causes anxiety as it can be brought from another place within a very short time.

The invention of the means of transport has also made it possible for people to work in places miles away, and children can attend schools in distant places. In the past, this was not possible. The children of today are therefore better educated than those of the past. Invention of the means of transport has also increased human activity. A man can now go to several places, and do a variety of things in a day's time

Other inventions like the radio and the telephone have also contributed much to human progress. The radio keeps us informed about developments in other parts of the world. We do not have to travel to know what is happening in places away from our homes. The telephone too is a convenient means of knowing about others, miles away. It helps in business transactions by reducing time and travel. A businessman in one town can talk to another in another town, several miles away, to do some important business. In all these ways, people are able to do many things without much loss of time.

In the same way, every invention has helped to increase our comforts. Television, for example, now makes it possible for people to stay at home and enjoy. At the same time, however, modern inventions have caused many deaths and much sorrow to many people. Yet modern inventions have

made the world what it is today. ",No,No,No,No,Yes,No,5.5
Some people claim that immigrants should adopt the local culture when they arrive in a new country. Others think that they should maintain their culture instead. Discuss both views and give your opinion,"These days, more and more people are moving to new countries to begin a new life. Some argue that these newcomers should take on the local customs, while others believe they should preserve their heritage. I strongly believe that assimilation into the target culture is key for a nation to function as one in order to succeed.

A prosperous country utilizes the power of its people. As such, its citizenry must strive for common goals, which are to become strong, economically secure, and free from outside influence. This happens by creating a communal feeling among the residents. For example, Americans subscribe the melting pot, a concept that emphasizes being American first and Asian, African, or other identity second. Consequently, everyone can be an equal, proud member of the nation and collectively propel it forward. In contrast, focusing on maintaining one’s past traditions makes the goals of the nation becomes secondary.

Another reason to assimilate is to speed up one’s integration into the system by finding a job, making friends, establishing a social safety net, and so on. This begins with language and customs. If one communicates effectively, he can build up his new life successfully. To illustrate, consider the second generation of immigrants; these young people were raised on the local culture, speak the language fluently, and tend to advance further than their parents. This suggests that if the latter had adapted to their new home more quickly rather than holding on to their past, they might have been more successful. Indeed, they did not principally emigrate to another country to conserve or promote their cultures and traditions, but in pursuit of better living conditions.

In conclusion, while one’s heritage is important, it can be detrimental to one’s ability to integrate into a new culture and contribute to its success. Therefore, immigrants should quickly adapt to their new homes. ",No,No,Yes,No,Yes,No,5.5
"Nowadays, teamwork is in fashion in the workplace and many people prefer working with a group of people. What are the advantages and disadvantages teamwork brings to people who prefer to do so.","In modern times, the issue of teamwork has become highly controversial. The causes of this phenomenon are varied in the workplace. This essay will outline the reasons why work in a group occurring, and explore some potential solutions to this issue.

Generally speaking, there are a wide range of reasons why people prefer to work in a group. Firstly, teamwork is good for better understanding. When people work in a group, rather than work in alone, it helps them to know better their colleagues. For example, if someone get a job in higher company, they way of work in a group help may their colleagues know very well. Secondly, teamwork is a best place for sharing ideas and experience. This is because, when someone work in a group, they can express their personal ideas and experience, which they learn for their real life. It helps them to broaden their ideas. Furthermore, if people work in a team, they may be capable to critical thinking, which boosts solve problem easily.

On the other hand, there are several throwback works in a group. The primary reason of this idea is that teamwork is time consuming. For example, if people work in a team, sometimes they need too much time for problem solve, and sometimes they wait for other teammates due to his problem. The secondary reason of idea is that work in a group make place congested. This is because, many people work in one place exact time, which hamper main aims of team.

In conclusion, teamwork is a topic which is very relevant to modern society. It is the best way to work in a group, unlike work in alone. If management implements this policy in workplace, it will provide better understanding and work in together. ",No,No,Yes,No,Yes,No,6
"According to the writer, raising legal driving age are would not really increase road safety. Do you agree with the writer’s views? Why/ why not?","I agree with the writer that raising legal driving age are would not really increase road safety. While I agree that driving age rise can have effective in reducing road accidents, I believe that other factors are equally important. If a person crosses the road unexpectedly, for example, teenagers might be surprised and extremely scared, adults might make quicker and wiser decisions. Besides, I think that there are three better solutions to increase road safety. First of all, the government should encourage people to use public transports instead of private ones in order to reduce the level of accidents. In addition, traffic police should fine traffic violators heavily or take away driver's licenses if they break the law. As a result of stringent traﬃc regulations, drivers will obey the law and accidents decrease. Finally, the authorities should allocate ﬁnancial resources to improving public transport and invest more money in building infrastructures such as one-way roads or dividing lanes for different types of vehicles. That would create better conditions for drivers. In conclusion, although raising the driving age certainly affects the number of accidents, there are other measures that are better.",No,No,Yes,No,Yes,Yes,5.5
what book or film have you seen that portrays your country's Culture the best ? In what ways does it represecnt your country?,"Actually. , First and foremost, My country has a wonderful and respectful culture which can learn so many things. Recently, I watched a move that represent about the proud cultural happenings before hundred years ago. that film name is """"Raga Adawiya""it has based on a story of a great king. that movie represent the cultural events, traditional foods, traditional festival so on. to be honest, The image of my country would be enhance if a foreign person watches it. To be wrap up, that move definitely will get attraction all of our citizens. ",No,No,No,No,No,No,5.5
"The old-fashioned idea that men go to work and earn money, and women stay at home and look after the household and the children is changing. • Explain how you think these changes will affect children. • What will these changes do for women in society? • Present your views on how these changes may impact on society as a whole?","The old fashioned concept that men have to work for bread and butter on the other hand women have to take care of the home and children are changing.

However it will have the impact on children. The children must face ignorance. Women have the ability to groom the personality of the children she focused on the up bring of the children. Children will become bullish. Their studies will be impacted and their grades will come down. To get attention they do rubbish things and make their parents to feel sorry. Their personalities will not boosted as an example my cousin have bad habits because of the ignorance of her mother and he always be punished for his wrong deeds.

In the society women will get a lot of confidence while working away from home. It will make it very easy for her to survive in case of a single parent. The working women can face every problem very easily and counter those problems. For example in my country women rights are not equal in all the regions of the country for that they must work to get exposure.

Hence I believe that men and women working together make the family survival easy. It will lead towards good impact on society as the world is moving fast and the survival has become very uncertain so the main thing is that society always praises working men and women but it will be done in a way that their children are not affected. ",No,No,No,No,No,No,5.5
"Some people suggest that when we learn a language, we should also learn the cultures and lifestyles of this country.","There’s an ongoing debate of whether or not we should learn the cultures and lifestyles of the country when we want to learn a new language. In my opinion, I fully agree with the viewpoint.

First and foremost, I do agree it is very important for us to learn the grammar and vocabulary if we want to advance a new language. However if we realize, we learned our mother language not by books. We observed how our family communicated, how our teacher told us stories, and then we tried to imitate them. We know when to use formal language, when to use sarcasm, when to talk casually through a life experience. This concept should be applied when we want to learn a new language.

As an Indonesian, I have learned english since kindergarten because it is a must have subject in my school. However, no matter how good my grammatical knowledge is, I still stutter when I talk in English whenever I travel to English speaking countries. I realized this often happens because I didn't understand the culture. For example, in Indonesia or any other asian country, it is highly impolite to talk casually with elderly especially to call them by their names. We usually call our aunt with “tante” before the name or “uncle” if he’s a male. But when I met my American uncle, he told me to just call him Bobby, which is his name. This may seem simple but it actually can dramatically change our relationship.

In conclusion, I highly agree we should also learn the cultures, manager, and lifestyles of the country when we want to advance a new 
YOU USE THIS WORD TOO OFTEN, CONSIDER REPLACING IT WITH
sounddialectstylejargonwordvocabularylanguage.",No,No,Yes,No,Yes,No,6
"When students study a foreign language, they should also study the culture and lifestyle of the people who speak the language. Do you agree or disagree?","Of late, the trends of studying foreign languages like English, French and Chinese are exponentially increasing across the world. In such a situation, some people assert that the students should also study the cultural and lifestyle aspects of the ‘natives’ speaking the particular language they are learning. Nevertheless, I personally disagree with it.

The culture and lifestyle of foreign countries need not be studied by the students due to a variety of reasons. First and foremost, it is critical to recognise that the students’ own cultural traditions and lifestyles are of high significance could be of higher significance. If they study foreign cultures and lifestyles, their native culture will be distorted. For instance, a recent survey by National Geographic magazine exhibited that the local cultural values of have been forgotten by some students who started studying American culture while pursuing education in Mumbai University. Secondly, such study of foreign cultures and lifestyles should not be imposed on anyone. Students, particularly in today’s democratic world, should have their own choice in this regard.

Admittedly, it is also true that while learning a foreign language in a proper way, building an understanding of their ‘native’ cultural values and lifestyle could be a game changer. For this, the students could be required to watch movies of particular cultures. Secondly, this is important to develop a cosmopolitan culture also, which will eventually lead to convergence of diverse cultures across the world. However, in this context, it should not be forgotten that studying foreign culture should be an option, not a compulsion.

On the basis of the above deliberations, it could precisely be concluded that the arguments against compulsion to study foreign culture which learning some language are more convincing and stronger (more substantial) vis-à-vis arguments in its favour. This is, inter-alia, due to the necessity of protection of native culture from distortions. ",No,No,No,No,Yes,No,5.5
"Inspite the advancement in agriculture, the world still faces hunger","There are a lot of advancements in the field of agriculture in recent years, but still the world faces the problem of hunger. The main reasons for this scenario is the reduction in farm land and farmers and also insufficient preservation and transportation facilities. Howerver there are various solutions to this problem

Agriculture is improving nowadays due to increased technological advancements. But this is not sufficient to meet the needa of the world. Firstly, the number of farmers and land available for agriculture is plummeting. Current generation is inclined towards white collar jobs such as office works. Moreover, agricultural land is converted into areas for constructing houses and buildings. Secondly, due to poor transportation and preservation technologies the agricultural commodities which are produced in one location is not accessible to other areas. For instance, several news reports have shown the wastage of tomato during harvesting season in the northern part of India due to lack of refrigeration system. All these can cause insufficient food supply around the world.

These problems can be eradicated by various methods. Government should form several schemes to encourage upcoming generation to take up agriculture and also should provide support to farmers like subsidies to promot agriculture. Furthermore, agricultural produce must be preserved and transported to those in need by taking the advantage of technology.

To conclude, many around us are still with empty stomachs even if the technological advancements in agriculture is rising. People should be encouraged to make agriculture their profession and also the food should be made available to those in desperate need. ",No,No,Yes,No,Yes,No,6
"Reflection about business culture, journalistic translation, culture, and literary translation","During the series of talkshow, I went through four themes including “Business culture in the contemporary business world” by Ph. D Phan Cong Chinh, “Journalistic translation” by M. A Nguyen Thanh Nam, “American pop culture” by Ph. D Hoang Thach Quan, and “Literary translation” by M. A Le Huy Loc.

First and foremost, I would like to give a special thanks for the very informative sharing and meaningful conversation from the four guests, and I would like to give a special thanks for holding these useful talkshow by the teachers from the Faculty of English Linguistics and Literature as well.

As expected, I have a general view of four themes regarding business, journalism, culture, and literature. I will share some of my observations and experience about the talkshow as follows.

Firstly, my observation from the first speaker’s sharing demonstrates that business culture plays a vital role in small and large companies alike. Its aim is to make a connection among employees and enhance the quality and effectiveness of the company as a whole as well as promote its empowerment. In particular, each company creates their own business culture as core values which have a huge impact on every employee. As a fresher, we are distinct individuals with different personalities and perspectives, therefore, it’s essential to learn and be instructed in the core values of the company. As a result, we should know what to do to implement and express the core values effectively. Thus, the training department is supposed to be very important in training people about the mutual business culture regardless of being in any position. Business culture such as core values, mission statement, philosophy, or creed must be prioritized to form at the beginning. As my experience in a To me, as a will-be graduate, I must have awareness of my almost lack of experience and capacity. Then, I always show my can-do attitude and curiosity and don’t hesitate to ask for help if any difficulties with the hope to best-accomplish the work and contribute to the company’s development.

Secondly, in terms of journalistic translation, it’s not merely translation from the source language to the target language, rather journalistic translators are supposed to collect, edit, and rewrite articles based on many resources in different newspapers in order to publish every type of news in accordance with journalistic style. The aim is to provide the production of news which is reasonable for the specific local audience and the journalistic norms in the region. The importance of copyright of the news in journalism is taken into consideration. The big newspaper offices in Vietnam, for example, almost buy the copyright of subscriptions or the exploitation of the resources, images of the overseas newspaper. Being students in translation and interpreting, we can apply for the collaborator position in some newspaper offices. However, we are not journalists, but translators, thus, we just provide the translation version. To be more professional in journalism, we must possess four requirements including faithfulness, accuracy, effectiveness, and clearness. When translating, editing, writing news, we should take some notice: the six questions principle of writing brief news (who, what, when, where, why, how), the different title between English news and Vietnamese news, and the regular research and update on new terms.

Thirdly, regarding American pop culture, I was introduced to the two distinct definitions of “Culture” and “cultures”.

The cultural framework between Vietnam and America is different, therefore, if we want to understand and not to misunderstand the event, we should put it in the proper context and put on the cultural lens of that particular country.

The Donald Trump phenomenon",No,No,No,No,Yes,No,5.5
Some people think that it's better to start a music club at school. But I agree with the idea that it's better to start a basketball at school. First argument to support my opinion is that sport is important for the physical and emotional development of adolescent. Second argument is just as important as the first most teens suffer from weight problems so sport can help them solve this problem. On the other hand music is very important factor adolescent. All children should have an access to culture and fine arts. İn conclusion I strongly believe that sport is important youth them physical on,Some people think that it's better to start a music club at school. But I agree with the idea that it's better to start a basketball at school. First argument to support my opinion is that sport is important for the physical and emotional development of adolescent. Second argument is just as important as the first most teens suffer from weight problems so sport can help them solve this problem. On the other hand music is very important factor adolescent. All children should have an access to culture and fine arts. İn conclusion I strongly believe that sport is important youth them physical education. ,No,No,No,No,No,No,5.5
The percentage of overweight children in western society has increased by almost 20% in the last ten years. Discuss the causes and effects of this disturbing trend.,"A drastic alleviation in number of overweight children has been observed over the last decade. In the modern time, obesity in children has seen a surge of almost 20%. There are several reasons contributing to this as well as it’s potential effects.

Lifestyle choices has led to the emerging issue of obesity in children in western society. Not following a healthy diet is one of the major and important reason for significant increase in the weight. For example, consumption of packed food instead of cooking fresh and healthy meals at home has been an easy and convenient way for children while their mothers are away. Another cause of the problem is lack of exercise. Playing video games on computers and mobile phones have been the first preference of teenagers rather than playing outdoor games in free time. Since there is no or very less body movement, the consumption of calories is very low.

Such a lifestyle can have major effects on the health of the children in long-term. A rise in weight has been observed as the main reason behind many diseases. For instance, diabetes, high cholesterol and so on are faced by people suffering from weight issues. Apart from this, low self-confidence has also been a result of obesity in most of the children. Physical appearance is a confidence booster for all, especially as a child, since people tend to bully fat students.

Poor lifestyle choices like consumption of less nutritious food and not working out has certainly contributed to an increase in percentage of children suffering from overweight. If not properly taken care of, this could result in health problems in the future which can prove to be a disadvantage for the society. ",No,No,No,No,Yes,No,5.5
Agrowing number of overweight people is putting a strain on the health system to deal with the health problems. Some people believe that providing curriculum to deal with problems by providing lesson in curriculum.,"An increasing number of overweight individuals is putting a strain on the health care system in order to mitigate these issue. Certain people argue that providing curriculum in school to deal with the problem. This essay agree that insert lessons in curriculum of school because this suggestion would be benefit people health in general, and it would have a positive impact on the shape of their body.

There is some truth in the argument that providing section of health in curriculum can be helpful students to be more care about their health and they might be fit. However, I think the lessons would be about kind of healthy food and cardio exercies. This is because many food are cause of obesity, but exercies are also the cause. I think, unless people should know about this issue earlr in the school throght the lesson, individual might face heavy problems in the future. This means that, although exist asustance provide energy to the body, there is also a food which contain of alot of fat, which is the main cause of obesity. Moreover, Another reason why I believe that teaching about obesity in curriculum of school is that lake of walking. The majority of individuals are sedentary, for they watch tv for along hours. Thus, people becoming overweight. This is because they don't care about size of the problem, and it is effect. For instance, according to a recent report by the Guardian newspaper shown that in the USA there have been an increase in the amount of adolescent obesity, which was the result of many years. In conclusion, despite there are people who feel that curriculum don't need additional like heath section, I do not agree, as this would be a beneficial step and it could be a healthy community empty from disease. ",No,No,Yes,No,Yes,No,5.5
THE NUMBER OF PEOPLE WHO ARE AT RISK OF SERIOUS HEALTH PROBLEMS DUE TO BEING OVERWEIGHT IS INCREASING. WHAT IS THE REASON FOR THE GROWTH IN OVERWEIGHT PEOPLE IN SOCIETY? HOW CAN THIS PROBLEM BE SOLVED?,"The incidence of serious health issues owing to obesity is increasing in society. There are various reasons for the rise in the overweight population which can be addressed and solved to decrease this incidence.

There are many reasons for the increasing obesity, and one of the major cause is, reduction in physical activity. Most of the office jobs offer a sedentary environment with long working hours and people have less time for physical exercise and sports, which leads them to gain weight. Secondly, the food choices have also changed over the years and now most of the people prefer takeaways and fast food over home-cooked or healthy food items, which causes unhealthy weight gain and thus increases the risk of health problems among them.

However, this problem can be solved by taking a few health measures. Firstly, spreading awareness regarding the significance of physical activity and the provision of fitness facilities can significantly reduce the number of the overweight population. Secondly, educating people about healthy food choices and the availability of healthy and nutritious meals in the cafeterias and supermarkets can help us lower the risk of obesity and obesity-related diseases.

In conclusion, sedentary lifestyle and unhealthy food choices are two of the many reasons which are causing a rise in the overweight population and thus an increase in the health problems, but, this incidence can be decreased by doing some lifestyle modifications. ",No,No,Yes,No,Yes,No,6
Today more people are overweight than ever before. What in your opinion are the primary causes of this? What are the main effects of this epidemic?,"Nowadays if you look at dietitians offices We can see so many overs people who are seeking for These days the number of overweight people is constantly increasing.

One of the important reasons of this epidemic is increasing the rate of using fast foods in this era as people do not have enough time to make not ready nutritive meal most of them tend to consuming prepared food in addition more Individuals are persuaded to use an unhealthy and high calorie helping by some attractive advertising which care more about high-income event public health another important factor is sedentary lifestyle that most of people are involved in we can see in our modern world They are sitting or lying down because this kind of lifestyle seems easier due to modern technology.

Firstly obesity results in incorrect functioning of human's body and contributes to increase the rate of some health disease and the risk of developing a number of chronic illnesses for example when the amount of body fat increases some of important veins in body can get blocked which can causes Moreover as the time passes the bodies lever get fatty and unhealthy and if individual do not care and left it untreated it ability to a cancer secondly overweight people are very unhealthy and often suffer from stress and tiredness where 4 of their work capacity and productivity begin to decrease For instance it has been proven that on obese person needs to put more efforts to complete some test when a person with normal weight

In conclusion it is obvious that abasing become to a big problem that affects a lot of people nowadays it is mainly caused by inactive life style and bad eating habits and results in several health problems and loss of productivity. ",No,No,Yes,No,No,No,5
University students are increasing studying abroad as a part of their study.do the advantages overweight the disadvantages,"Study in Abroad is a common in a todays generation. as studying abroad is a part of a degree, number of students are increasing in a foreign universities. although it has disadvantages, there are many advantages like studying in best university of world. Taking brighter side into consideration. There are many advantages of studying abroad. The first key benefit is that student can get admission in world class universities. Not all countries have good university is for all streams. Taking cannada as an example, it is famous for its engineering institutes. Admission is taken in cannadas university is from all over the world. Second key benefit is that student get to learn regional language of that country where pupil take admission. Student learn new language while living in another country. As an instant many African student learn basic Hindi language while studying in India. On the other side of the coin. Studying abroad has some disadvantages. Firstly, it is not easy to get same food in all over the world as student are used to eat in their home country. Even if food is available, it is costlier. For an example, many Indian students who are vegetarian can't survive in European countries without having non vegetarian food. Secondly, pupils have to do household chores with study like do disease, cookings, washing clothes, doing shopping and many more. These all task can affect study. To conclude, although having some negative effect of studying abroad, it is preferred on account of its advantages. ",No,No,Yes,No,No,No,5
The growing number of overweight people is putting a strain on the health care system in an effort to deal with the health issues involved. Some people think that the best way to deal with this problem is to introduce more phusical education lessons in the school curriculum. To what extent do you afree or disagree?,"The huge amount number of overweight people has been increasing massively in recent days all over the world, another word is putting a burden on healthcare systems of any nations. It is argued that introducing more physical subjects in the school is the best way to deal with health issues. I totally agree with this statement and I will explain and present my opinion in this essay. Firstly, dealing with health problems according obesity and overweight is the best involved by approach and implement sports and exercise in school curriculums. Since students are more likely to follow the produce which is provided in school, introducing exercise is the most effective way to help them realising the improtant of health and activities, leading to a better results for a long run. Moreover, quite a few parents are busy at work",No,No,No,No,No,No,5.5
The percentage of overweight children in western society has increased by almost 20% in the last ten years. Discuss the causes and effects of this disturbing trend.,"Over the last ten years, western societies have seen close to a 20% rise in the number of children who are overweight. This essay will discuss some reasons why this has occurred and examine the consequences of this worrying trend.

The main cause of this problem is poor diet. Over the last decade there has been a prolific increase in the number of fast food restaurants. For example, on nearly every high street there is a MacDonald’s, Kentucky Fried Chicken and Pizza Hut. The food in these places has been proven to be very unhealthy, and much of the advertising is targeted at children, thus ensuring that they constitute the bulk of the customers of these establishments. However, it is not only due to eating out, but also the type of diet many children have at home. A lot of food consumed is processed food, especially with regards to ready-made meals which are a quick and easy option for parents who are working hard.

The effects of this have been and will continue to be very serious. Firstly, there has been a large increase in health related diseases amongst children, especially diabetes. This debilitating illness means a child has to be injected with insulin for the rest of their life. Not only this, very overweight children often experience bullying from other children, which may affect their mental health. The negative stigma of being overweight may also affect self-esteem.

To sum up, it is evident that there are several causes of obesity amongst children, and a variety of negative effects. Society must ensure steps are taken to prevent this problem from deteriorating further. ",No,No,No,No,Yes,No,5.5
